Þok-þereflikoçhisar Ankara Þubesi,38.9391513,33.543945
Þok-þereflikoçhisar Sarýkaya Ankara Þubesi,38.936155,33.547132
Sok,38.938987,33.5444377
Güzelller Market,38.937867,33.5424047
Sultan MANAVI,38.9354467,33.5479365
Bim,38.933798,33.542276
Bim,38.9401012,33.5430027
A-101-þ. Koçhisar,38.93819,33.544854
Çetinler Market,38.9424365,33.5411733
Cemre Alisveris Merkezi,38.94444439999999,33.5419444
Cemre süpermarket,38.9349962,33.5415352
Sok,38.9423006,33.5409463
Sok,38.93789,33.53916
Sok,38.9353603,33.5438969
A 101,38.941392,33.5418966
ÞENOL MANAV,38.935593,33.5419236
Iþýlak Bakkal,38.93669,33.530508
Güçlü Market,38.9379251,33.5424469
Breakfast Palace,38.937274,33.545222
Ekomini,38.941127,33.541806
